"CSO_LEA","Census Year","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","Population"
"GLENTIES",2022,0.0971538832609744,0.444042450554752,0.179160636758321,0.148721659430777,0.130921369995176,20730
"GOREY",2022,0.12114219786559,0.550166879558284,0.143063167003173,0.107503399398409,0.0781243561745437,24269
"GORT-KINVARA",2022,0.122987765614939,0.547179156966665,0.150725642676705,0.105205805141414,0.0739016296002774,20189
"GRAIGUECULLEN-PORTARLINGTON",2022,0.132041441214714,0.568558365840359,0.14001090558282,0.0953819051214295,0.0640073822406778,23841
"GRANARD",2022,0.11505400044082,0.51091029314525,0.151752259202116,0.12938064800529,0.0929027992065241,9074
"GREYSTONES",2022,0.123106779732523,0.559633801628486,0.138379108129773,0.100535797156478,0.0783445133527402,23703
"HOWTH-MALAHIDE",2022,0.102774997725412,0.541861523064325,0.140151032663088,0.112728596124102,0.102483850423073,54955
"Ireland",2022,0.106352433292039,0.559179815969365,0.143004909670401,0.108770890515608,0.0826919505525876,4054651
"KANTURK",2022,0.102138555645123,0.505097444165205,0.154677794110674,0.138223718526246,0.0998624875527526,21089
"KELLS",2022,0.115637951450562,0.523201598579041,0.160820011841326,0.115563943161634,0.0847764949674363,27024
"KENMARE",2022,0.0982547444927991,0.474494145093993,0.167481717439096,0.151240522230697,0.108528870743416,22289
"KILDARE",2022,0.12173156406352,0.600826626060474,0.122819229932565,0.0922775723297803,0.0623450076136611,22985
"KILKENNY",2022,0.102125868238266,0.555588297200589,0.147716270258893,0.110755630393601,0.0838139339086508,23755
"KILLALOE",2022,0.125556951902205,0.510682051867931,0.16554324231692,0.116302981834799,0.0819147720781446,17506
"KILLARNEY",2022,0.104575426182052,0.546759408169829,0.150209070440656,0.113179478932133,0.0852766162753297,24872
"KILLINEY-SHANKILL",2022,0.0988906195365396,0.530563590705363,0.151149114720748,0.11554722019136,0.10384945484599,31459
"KILMUCKRIDGE",2022,0.117735952740761,0.513806841599121,0.169116636900673,0.119521912350598,0.0798186564088474,14558
