"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Lower secondary","Number","1688"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Upper secondary","Number","2356"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Technical or vocational qualification","Number","908"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Advanced certificate/Completed apprenticeship","Number","775"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Higher certificate","Number","716"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Ordinary bachelor degree or national diploma","Number","1035"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1501"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Postgraduate diploma or degree","Number","1286"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Doctorate(Ph.D) or higher","Number","113"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Not stated","Number","1031"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Total","Number","12590"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","No formal education","Number","168"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Primary education","Number","547"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Lower secondary","Number","1030"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Upper secondary","Number","1236"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Technical or vocational qualification","Number","502"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Advanced certificate/Completed apprenticeship","Number","743"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Higher certificate","Number","374"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Ordinary bachelor degree or national diploma","Number","639"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Honours bachelor degree, professional qualification or both","Number","818"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Postgraduate diploma or degree","Number","618"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Doctorate(Ph.D) or higher","Number","89"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Not stated","Number","545"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Males","Total","Number","7309"
"Population aged 15 years and over by sex and highest level of education completed","2022","Killaloe, Clare","Females","No formal education","Number","97"
